web_scraper_order,product,variant,comment,created_at,reason
1773397937-787,Son Sáp Màu Mịn Lì 3CE Sketch Stick,05-High Standard,"Nhận hàng đc 3 tiếng, quẹt 1 lần rồi đóng nắp cẩn thận, giờ mang ra quẹt lần 2 thì thấy gãy vậy rồi. Mua đủ loại của 3CE mà dòng này quá là chán luôn.",2025-12-13 21:19,Chất lượng sản phẩm kém
1773397937-788,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Coral Moon-Cam gạch,"Sao mình test ở ngoài mall chất lượng khác 1 trời một vực với mua của hãng trên shopee vậy??? Của Hàn mà giờ để lun là Made in China là không ưng rồi đó. Chất son cũng khác hoàn toàn với cây chính hãng mình thử qua ở Aeon luôn Test lên môi màu ko rõ đẹp như ngoài Aeon, Tệ thật sự, đã vậy săn sale 12-12 mà ko lấy một quà tặng 😏😏😏😏 Lần đầu mua son xịn vậy mà chất lượng thật khiến mình thất vọng , biết vậy trả hàng mà lỡ bấm rồi",2025-12-13 20:24,Không giống mô tả / quảng cáo
1773397937-789,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,HUSH RED-Đỏ mâm xôi,K hài lòng,2025-12-13 17:36,Khác / Không rõ
1773397937-790,Phấn Má Hồng Mịn Lì 3CE Face Blush,Mono Pink-Hồng khô,"Pas má hồng mono pink vừa nhận ạ, màu đánh k hợp. Zalo 0842203002 150k",2025-12-13 17:26,Khác / Không rõ
1773397937-791,Son bóng dưỡng môi 3CE Glazy Lip Glow,#32 Peachy Filling,"trong giỏ hàng mua 1 cây là được tặng thêm 1 cây son, tui mua 2 cây, nhắn cho shop không lấy son mà lấy móc khoá theo 3 sự lựa chọn. shop giao không có móc khoá, ít ra cũng tặng lại khách 2 cây son kèm theo đơn hàng như quãng cáo quy định ban đầu chứ.",2025-12-13 14:33,Chất lượng sản phẩm kém
1773397937-792,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Sepia-Đỏ táo trầm,"hình ảnh minh hoạ, nhưng đóng gói rất ẩu vô cùng ẩu rất rất ẩu. Son bên trong chưa boc seal nên tạm chấp nhận. Nhưng vỏ bên ngoài bị bóc rồi. Nói chung kém.",2025-12-12 22:55,Chất lượng sản phẩm kém
1773397937-793,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Spot Player-Táo đỏ,Màu hồng cánh sen ạ. Thất vọng cực kỳ. Mua phí tiền mà ko dùng được,2025-12-12 21:45,Giá cao không xứng
1773397937-794,(GWP) Túi Mini Đựng Son 3CE Lipstick Holder,,Hàng tặng mà bị hỏng nút,2025-12-12 18:39,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-796,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Early Hour-Hồng ngọt,"Màu son xỉn không như quảng cáo, chất liệu cũng không mướt.",2025-12-12 09:03,Không giống mô tả / quảng cáo
1773397937-797,Chai Xịt Cố Định Lớp Trang Điểm 3CE 3CE Shimmer Makeup Fixer,,s k bt I am so sorry for your inconvenience this morning I have a meeting on Friday and Friday at noon 🕛 so I’ll let you go in and out for the day before,2025-12-12 01:22,Khác / Không rõ
1773397937-798,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Play Off-Đỏ cam,Sp không như mô tả. Son lên k đều màu. K phải lần đầu mình mua 3ce. Những làn trước đều oki còn lần này vô cùng xấu. Trả hàng thì shop không cho.,2025-12-11 16:26,Chất lượng sản phẩm kém
1773397937-799,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Pink Guava-Hồng đào,"Sản phẩm son không lì, bóng, đánh không thích",2025-12-11 16:00,Chất lượng sản phẩm kém
1773397937-800,Phấn Má Hồng Mịn Lì 3CE Face Blush,Mono Pink-Hồng khô,bụi lên màu kém không thần thánh như quảng cáo,2025-12-11 01:02,Không giống mô tả / quảng cáo
1773397937-801,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Play Off-Đỏ cam,Màu ko đúng mô tả,2025-12-10 21:06,Thiếu hàng / sai sản phẩm
1773397937-802,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,BUDDY-Hồng cá hồi,"M dùng son cũng nhiều năm mà lần đầu gặp chất lượng kém ntn, chất son xấu, dùng rất lộ viền môi và màu son lạc quẻ trên môi kiểu khó bám nhanh trôi trong khi m đã tẩy tb chết và dùng dưỡng môi. Thử Thay bằng dòng son khác thì thấy lên môi bình thường, quay lại son này để test lại thì thêm bực mình, không xứng đáng với giá tiền này. Các b nên ra cửa hàng test trực tiếp thì tốt hơn.",2025-12-10 17:01,Chất lượng sản phẩm kém
1773397937-804,3CE Combo Phấn Nước Fitting Mesh Cover Cushion Kèm Lõi Refill,Trung Tính - N01,"ngồi nghe tư vấn cả buổi, mình mua nhiều sp 3ce rồi, tin tưởng nên cũng chốt, đã hỏi đi hỏi lại trên live để tư vấn rồi, về nhà kiểu gì vàng khè, ý là trên live tư vấn cũng không đúng 100% dc, nhưng có vấn đề thì đây một phần cũng là lỗi ng bán chứ, mình mua cả lõi cả hộp, mới khui hộp th, trả hàng kh dc, lõi không nhận. Bên tư vấn thì m hỏi cách giải quyết cũng không trả lời đúng trọng tâm, ý như kiểu kêu mình xài đỡ đi tại shoppee kh giải quyết, mà đối với mình sản phẩm mắc hơn thị trường, hãng lớn mà làm ăn vậy đó, cũng không có cách giải quyết gì cho quyền lợi khách hàng. Chịu thật",2025-12-10 12:18,Thiếu hàng / sai sản phẩm
1773397937-805,Son Sáp Màu Mịn Lì 3CE Sketch Stick,13-Silent Bloom,"Mình đã xem trước các review phải vặn rất ít nhưng mà son mới dùng có 2,3 lần đã gãy?",2025-12-10 07:16,Không giống mô tả / quảng cáo
1773397937-806,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,OAT-Be yến mạch,Son cực kỳ dỏm Son lên môi vón cục kinh Mua hơn 3 trăm mà như hàng chợ Sẽ k quay lại,2025-12-09 18:14,Chất lượng sản phẩm kém
1773397937-807,Son bóng dưỡng môi bắt sáng 3CE Shine Reflector (Son vặn 1 chiều),SOFTEST-Hồng baby,Nút vặn lên được nhưng vặn xuống bị lỗi k vặn xuống được! Chất son hơi the the kiểu bạc hà cảm giác tê môi khoảng 10s sau khi son. Màu lên k nhiều giống như miêu tả 🙂‍↕️,2025-12-09 13:24,Khác / Không rõ
1773397937-810,(GWP) Túi Mini Đựng Son 3CE Lipstick Holder,,"Mình đặt 1 cây son kem và 1 cây son dưỡng, nhận về ko còn nhu cầu sử dụng nữa nên mình bấm trả hàng. Các shop hay thông báo là lúc trả hàng vấn đề gì cũng để lí do ko còn nhu cầu sử dụng để shop khỏi bị điểm xấu đúng ko? Nhưng ko, shop này ko cho trả hàng với lý do phải có hộp carton hoặc bì nhựa như ban đầu, lý do rất vớ vẩn, mình đâu có nghĩ là sẽ mua và trả hàng nên mình k giữ lại hộp như ban đầu, mình gói vào bì nhựa và trả hàng. Shop ko đồng ý và hoàn lại cho mình, chỉ hoàn lại cây son chứ mất luôn cây son dưỡng🙂 nhắn tin xin video gói hàng của shop thì shop nói nhắn với shopee. Lần đầu mua 1 đơn hàng mà cảm thấy khó chịu như vậy luôn. Xin phép thêm vô blacklist.",2025-12-08 17:42,Khác / Không rõ
1773397937-814,Son bóng dưỡng môi bắt sáng 3CE Shine Reflector (Son vặn 1 chiều),RAIN OR SHINE-Pha lê,"Biết là có ghi ở Dòng cuối cùng trong IFU nhưng thiết kế quá ngu, chỉ vặn lên được mà không vặn xuống được, thế là khách mở ra coi như hư luôn cây son, khuyên mn đừng mua sp này , chất lượng thì thua hũ kem dưỡng brand thường mà giá thì ko xứng đáng",2025-12-08 17:24,Chất lượng sản phẩm kém
1773397937-816,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Sepia-Đỏ táo trầm,"trả tiền r, hoàn hàng, k dc chấp nhận, nhưng 1 tuần chưa thấy ship lại hàng hoàn",2025-12-08 16:58,Dịch vụ CSKH kém
1773397937-817,Phấn Má Hồng Mịn Lì 3CE Face Blush,Mono Pink-Hồng khô,hoả tốc thì qua hôm sau mới có. Nhắn shop thì kêu bên shoppe chán,2025-12-08 12:33,Chất lượng sản phẩm kém
1773397937-820,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Play Off-Đỏ cam,Giao nhầm màu. Quá thất vọng,2025-12-06 21:02,Thiếu hàng / sai sản phẩm
1773397937-821,Chai Xịt Cố Định Lớp Trang Điểm 3CE 3CE Shimmer Makeup Fixer,,Không hề giữ lớp trang điểm,2025-12-06 20:43,Chất lượng sản phẩm kém
1773397937-822,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Play Off-Đỏ cam,Màu đỏ cam nhưng đánh lại ra Hồng tím Tem chống mở áp không có,2025-12-05 10:42,Gây kích ứng da / breakout
1773397937-825,Phấn Má Hồng Mịn Lì 3CE Face Blush,Mono Pink-Hồng khô,Dịch vụ shop quá tệ không ai giải quyết cho khách,2025-12-05 05:52,Không giống mô tả / quảng cáo
1773397937-826,Son Sáp Màu Mịn Lì 3CE Sketch Stick,13-Silent Bloom,"Rút ra là son đi đằng son, nắp đi đằng nắp. Nhét vô thì lõi son lỏng lẻo",2025-12-04 17:51,Chất lượng sản phẩm kém
1773397937-827,Phấn Nước Trang Điểm 3CE Fitting Mesh Cover Cushion,(Lõi Refill)-P01,Đã test. Nói chung là ko như qc đâu.Mới đánh lên thì thấy sáng mà chưa đầy 30p xuống tông nhanh chóng. Tầm hơn tiếng là cái mặt xuống ngang với bên ko đánh r. Loang lỏi phấn. Ko mua lại lần 2,2025-12-04 17:05,Không giống mô tả / quảng cáo
1773397937-828,Son Sáp Màu Mịn Lì 3CE Sketch Stick,10-Already Booke,"Cây son bị gãy bên trong, mới nhận không để ý. Đến lúc sử dụng, vặn lên mới biết là thỏi son gãy rời ra, không dùng được 🙏",2025-12-04 16:11,Chất lượng sản phẩm kém
1773397937-829,Son Sáp Màu Mịn Lì 3CE Sketch Stick,03-Softly Spoken,Hàng nhận về ko giống hình như bị bóc ra trước đến khi trả hàng lại thì đòi bằng chứng nói hàng đã qua sử dụng trong khi nhận hàng ko thấy giống là bấm trả hàng liền Trải nghiệm thật sự tệ ko dám mua lần sau,2025-12-04 14:14,Chất lượng sản phẩm kém
1773397937-830,Son Sáp Màu Mịn Lì 3CE Sketch Stick,05-High Standard,"Thân son rất tệ, rất mỏng và dễ gãy. Đọc cmt thấy shop ghi vặn cao dễ gãy như mình vặn rất thấp vừa đủ đánh vẫn gãy. 1 nhãn hàng có thương hiệu như 3ce mà đưa ra cây son như này thật sự rất tệ",2025-12-04 13:24,Chất lượng sản phẩm kém
1773397937-831,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Breeze Way-Cam ngọt,Son lên môi bợt và vô cũng xấu,2025-12-04 09:51,Khác / Không rõ
1773397937-832,Son Sáp Màu Mịn Lì 3CE Sketch Stick,07-Burnt Orange,Khuyên mn k nên mua. Shop k gửi trả hàng cho khách. Định đớp k tiền của khách hay gì,2025-12-03 20:41,Khác / Không rõ
1773397937-833,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Play Off-Đỏ cam,Shop làm ăn bố láo. Ng ta chưa dùng đến mà giám bảo dùng qua rồi. Nhận hàng cái ktra hàng k oki trả luôn mà giám bảo nta dùng rồi. Mn k nên mua nhé,2025-12-03 20:39,Khác / Không rõ
1773397937-834,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Sepia-Đỏ táo trầm,"Son có tem bằng 1 miếng băng dính, k hề có chữ hàn. Chất son khó tán, khi tán bị vón, loãng",2025-12-03 20:35,Chất lượng sản phẩm kém
1773397937-835,Phấn Nước Trang Điểm 3CE Fitting Mesh Cover Cushion,(Lõi Refill)-N01,"Tuỳ theo sở thích của mn thôi riêng mình thấy k bám trên da lắm mau trôi , da nhờn xài vài tiếng đổ nhờn chảy nêfn",2025-12-03 18:54,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-836,Son Sáp Màu Mịn Lì 3CE Sketch Stick,13-Silent Bloom,"Đánh dc 1 lần , chất son khô, tự gãy ,nghi hàng fake",2025-12-03 16:02,Không giống mô tả / quảng cáo
1773397937-837,Son kem lì nhung mịn 3CE Velvet Lip Tint,Daffodil-Đậu đỏ,"Son đã bị mở , bóc ra không còn tem niêm phong",2025-12-03 14:35,Chất lượng sản phẩm kém
1773397937-839,Son Sáp Màu Mịn Lì 3CE Sketch Stick,05-High Standard,"Mình chưa bao giờ đánh giá hàng mall nhưng lần này 3CE làm mình quá thất vọng. Mua hàng trên live của Xuân Nhi từ ngày 2/11 là những ngày đầu mở bán, nhận hàng ngày 4/11. Mình là người trúng giveaway trên live và hãng nói sẽ nhận quà từ 15-30 ngày sau khi nhận hàng thành công. Đến nay 3/12 nhắn hỏi mới báo 15/12 sẽ gửi quà đi??? Vấn đề về sản phẩm, lỗi mình quá tin tưởng hãng nên ko quay video. Son mình nhận từ lúc khui đã gãy dù mình còn chưa làm gì. Hãng nên xem lại cách xử lý đi ạ. Mình ko cần quà tặng gì nữa đâu.",2025-12-03 09:00,Chất lượng sản phẩm kém
1773397937-840,Phấn Nước Trang Điểm 3CE Fitting Mesh Cover Cushion,Trung Tính - N01,"Chưa có dịp thử nền không biết sao nữa, nhưng gói không kĩ với giá gần 500 vậy không xứng",2025-12-03 08:54,Chất lượng sản phẩm kém
1773397937-841,Son Sáp Màu Mịn Lì 3CE Sketch Stick,13-Silent Bloom,Son xài được 2 lần gãy. Chẳng làm rớt cũng không vặn dài.,2025-12-03 08:36,Chất lượng sản phẩm kém
1773397937-842,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,TEXT ME-Hồng mận,màu xấu quắc. vón cục. khô môi. seeding quá lố. sp tệ,2025-12-03 08:16,Chất lượng sản phẩm kém
1773397937-843,Son Sáp Màu Mịn Lì 3CE Sketch Stick,13-Silent Bloom,"Lên môi không hợp, vừa sd vặn ngắn vừa th cũng bị gãy rụng cái lõi, trc đó cũng coi review nghe dặn r, vỏ tặng cũng dỏm lắm, đòi trả xog cái shopee làm mất hàng h mất son cả tiền luôn, rớt nc mắt:.>",2025-12-03 02:29,Không giống mô tả / quảng cáo
1773397937-845,Son bóng dưỡng môi bắt sáng 3CE Shine Reflector (Son vặn 1 chiều),COLDEST-Đỏ mận,Màu son đẹp nhưng nắp vặn bị hư ko vặn son lại được,2025-12-02 19:24,Khác / Không rõ
1773397937-846,Son kem lì nhung mịn 3CE Velvet Lip Tint,Speak Up-Lê đỏ ngâm,Mua trâu vẽ bóng dù giao ko đúng màu như quảng cáo ko đổi. Mua ko dc trả ko dc đổi,2025-12-02 17:28,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-847,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Play Off-Đỏ cam,"Đặt đỏ cam , giao đỏ đậm . Chán sop thật",2025-12-02 17:14,Gây kích ứng da / breakout
1773397937-849,(GWP) Túi Mini Đựng Son 3CE Lipstick Holder,,Nói là quà tặng chứ mở ra lại k thấy dou,2025-12-02 14:48,Khác / Không rõ
1773397937-850,Chai Xịt Cố Định Lớp Trang Điểm 3CE 3CE Shimmer Makeup Fixer,,Tôi ko hài lòng về sản phẩm vì hỏng vòi mà đổi trả cũng ko dc,2025-12-02 12:50,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-851,Phấn Nước Trang Điểm 3CE Fitting Mesh Cover Cushion,(Lõi Refill)-N1.5,"Nghe review đã quá cái mua theo, tệ. Đánh vô nhìn cái mặt hắn mốc, sần sùi, chán",2025-12-01 20:41,Không giống mô tả / quảng cáo
1773397937-852,Son Sáp Màu Mịn Lì 3CE Sketch Stick,05-High Standard,Thất vọng! Màu quá sáng. Son nhận về nhưng phần son bị lệch so với khuôn thỏi son. Quá thất vọng về 3ce!,2025-12-01 15:19,Khác / Không rõ
1773397937-853,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Play Off-Đỏ cam,Để đỏ cam giao thoa ra đỏ đậm trả hàng ko cho ko thấy liên khách đổi màu. Làm ăn cực đoan lừa dối khách hàng. Bộ phận chăm sóc khách hàng tệ,2025-12-01 15:15,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-855,Son Sáp Màu Mịn Lì 3CE Sketch Stick,05-High Standard,"Màu sắc không đúng như minh hoạ, yêu cầu hoàn hàng thì báo hàng trả về bị móp hộp không còn nguyên seal nên không đồng ý trong khi mình gửi hàng về nguyên vẹn. Nói chung mua hàng né shop này ra. Shop thì đổ cho shopee xử lý nên không biết :)))) hài thật",2025-11-30 19:02,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-857,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Play Off-Đỏ cam,"Màu khác xa với trên hình, màu đỏ cam mà như đỏ hồng, quá tệ",2025-11-30 15:45,Gây kích ứng da / breakout
1773397937-858,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,BUDDY-Hồng cá hồi,"Eo oi nó tệ kinh khủng luôn ấy mn Mình k nghĩ một cây son giá tầm 350-400k mà chất son nó tệ như vậy, mà hãng cũng nổi cũng lớn đấy, mà sao còn thua mấy cây vài chục mua ở chợ nữa í. Mình có dưỡng môi, môi mềm mịn k tế bào chết trước khi son nhưng chất son vẫn bột k hề mịn, son lên kiểu nó trượt trên môi chứ k hề ăn vào môi. Dòng này mình thấy sản xuất ở Trung Quốc Mình có thấy một vài feedback về chất son tệ là tại đợt son này sản xuất ở Trung Quốc chứ k phải Hàn Quốc, Mình nghĩ nhiều review tốt là dùng son lúc trước sản xuất ở Hàn Quốc ( cái này mình thấy ngkhac feedback chứ mình cũng k rõ ) Màu môi thì thiên hồng nhiều hơn chứ k thiên cam như hình. ( mình có che khuyết điểm môi ) Mua son thì phải dùng thử mới biết chất lượng thế nào, mà tệ thì lại k trả được, h cố đấm ăn sôi sài cũng chẳng xong. Chưa tính phần quà tặng là túi đựng son làm rất sơ sài, k vừa với cây son, vừa to vừa rộng đúng kiểu làm đại để có tặng :)))",2025-11-30 10:55,Không giống mô tả / quảng cáo
1773397937-859,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,HUSH RED-Đỏ mâm xôi,"Màu ở ngoài xấu lắm , đánh lên nhìn phèn , chê á",2025-11-30 10:49,Khác / Không rõ
1773397937-860,Son Sáp Màu Mịn Lì 3CE Sketch Stick,05-High Standard,"Sản phẩm mỏng nên dễ gãy vô cùng, mới mở đã gãy. Quá tệ.",2025-11-29 18:49,Chất lượng sản phẩm kém
1773397937-861,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Laydown-Hồng trầm,"màu kh đẹp ạ , lên môi rất tím cân nhắc trước khi mua",2025-12-07 16:35,Chất lượng sản phẩm kém
1773397937-862,Son bóng dưỡng môi 3CE Glazy Lip Glow,#34 Rose Glaze,"son rất khô, bôi lên vừa nhớp vừa lộ vân môi vừa khô mặc dù là son dưỡng, rất tệ",2025-11-28 20:53,Chất lượng sản phẩm kém
1773397937-863,Phấn Phủ 3CE Cho Lớp Trang Điểm Tự Nhiên Bền Màu 3CE Natural Finish Loose Powder,001-Da sáng,Sản phẩm còn nguyên vẹn nhưng lại nói là bị móp méo rồi hoàn ngược về cho khách. Làm ăn lươn lẹo xứng đáng 1 sao,2025-11-28 12:24,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-864,Son kem lì nhung mịn 3CE Velvet Lip Tint,Taupe-Gạch đỏ,Dùng cực chán k thấy lì j cả . Cũng k thấy có làm nhung như các son khác. Đánh mấy son rồi lớp uống nước nhẹ cũng trôi hết,2025-11-27 21:30,Chất lượng sản phẩm kém
1773397937-865,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Casual Affair-Hồng,"Màu lệch tông, k hợp k cho đổi trả hàng, hiện shopeee k xư lý cũng chưa nhận đc hàng trả về, tiền cũng k hoàn",2025-11-27 19:48,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-866,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Play Off-Đỏ cam,Son màu đỏ cam nhưng lên môi thì đậm màu đỏ hồng đậm Nhắn shop hỗ trợ thì báo sẽ phản hồi nhưng để đó không thấy phản hồi gì,2025-11-27 19:11,Gây kích ứng da / breakout
1773397937-869,Son Sáp Màu Mịn Lì 3CE Sketch Stick,13-Silent Bloom,Mua son màu Hồng nude chứ lên môi đỏ và cam nha,2025-11-26 21:23,Gây kích ứng da / breakout
1773397937-872,Phấn Má Hồng Bắt Sáng 3CE Blushlighter,What If,"Bảo tặng quà mà k tặng nt bảo ktra rồi cũng k phản hồi khách , dv tệ , k uy tín với khách , phấn tạm ổn",2025-11-25 21:04,Chất lượng sản phẩm kém
1773397937-873,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,HUSH RED-Đỏ mâm xôi,"Màu hồng cánh sen chứ đỏ gì, màu xấu chất thì tệ, ko nên mua nha mn, mua cả đống son 3ce về màu nào cũng khác trên ảnh, kinh tởm",2025-11-25 16:25,Gây kích ứng da / breakout
1773397937-875,Son Sáp Màu Mịn Lì 3CE Sketch Stick,02-Unfolding Ros,Mua 06 giao ko 02 màu thi xấu lắm,2025-11-25 15:14,Khác / Không rõ
1773397937-876,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,BUDDY-Hồng cá hồi,"Màu không hề giống hình, khiếu nại hoàn hàng bị từ chối, mà shop ko trả lại hàng cho mình. Vừa mất tiền, vừa mất hàng, nhắn tin shop ko phản hồi luôn🙄🙄🙄",2025-11-25 11:04,Dịch vụ CSKH kém
1773397937-877,Son kem bùn mịn lì 3CE Hazy Lip Clay,WHIP RED-Đỏ mận,"Tui ra tiệm thấy thích lắm kìa, về mua onl ối dồi ôi lun. Sao mà nó khô rút cây ra nó khô gì đâu quẹt ko đc lun. Hay cây này bị lỗi ko biết nữa. Ko lẽ khui quẹt rồi trả hàng. 300k với nhiều kh như tui có phải nhỏ đâu mong shop lưu ý",2025-11-25 10:06,Chất lượng sản phẩm kém
1773397937-878,Son tint 3CE lên môi chuẩn sắc lâu trôi  3CE Lazy Pop Lip Stain,Tan-Nâu đỏ đất,Vỏ son 3ce mà trong thì son mezzy.lại còn dùng son hết ròi bỏ vào cho khách hàng nữa.dối lừa khách hàng quá.xu là hôm đó em quay đc đoạn video này.còn quên k quay lúc khui hàng.vì nghĩ tin tưởng vào trang lớn nên k quay.,2025-11-25 07:57,Không giống mô tả / quảng cáo
1773397937-879,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Early Hour-Hồng ngọt,"SON KHÔNG HỢP VỚI NGƯỜI MÔI THÂM!!!! Mấy bà phải tin tôi, môi thâm ít hay nhiều đều lộ kinh khủng, k hợp đâu. Gói hàng thì ẩu",2025-11-25 02:15,Chất lượng sản phẩm kém
1773397937-880,Son Sáp Màu Mịn Lì 3CE Sketch Stick,10-Already Booke,Nó gãy trời ơi nó gãy.. màu đẹp mà mới đụng vô gãy rồi,2025-11-24 19:12,Chất lượng sản phẩm kém
1773397937-881,Son bóng dưỡng môi bắt sáng 3CE Shine Reflector (Son vặn 1 chiều),RAIN OR SHINE-Pha lê,Quá tệ. Lần sau ghi mô tả sản phẩm là dùng đến đâu xoáy đến đấy để khách hàng còn biết. Mô tả ở cuối thì ai nhìn thấy gì. Vứt luôn thỏi son đi. Bực cả mình. Brand lớn mà nên không cần khách hàng.,2025-11-24 18:10,Chất lượng sản phẩm kém
1773397937-882,Son bóng dưỡng môi 3CE Glazy Lip Glow,#34 Rose Glaze,Mua 3ce mà có cả hãng khác hàng fake rút kinh nghiệm nhìn trang uy tín mà giao cho ngta hàng đểu,2025-11-24 17:32,Không giống mô tả / quảng cáo
1773397937-884,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,HUSH RED-Đỏ mâm xôi,"màu xấu, tệ",2025-11-24 13:29,Chất lượng sản phẩm kém
1773397937-885,Son Sáp Màu Mịn Lì 3CE Sketch Stick,10-Already Booke,Son giao về bị gãy,2025-11-24 12:05,Chất lượng sản phẩm kém
1773397937-886,(GWP) Túi Mini Đựng Son 3CE Lipstick Holder,,Xấu ạ,2025-11-24 10:34,Khác / Không rõ
1773397937-888,Phấn Nước Trang Điểm 3CE Fitting Mesh Cover Cushion,Tông Ấm - W05,Quá tởm đổ tè le hoản trả mà ko cho,2025-11-24 02:55,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-889,Son Sáp Màu Mịn Lì 3CE Sketch Stick,10-Already Booke,Chưa xài đã gãy chán gì đâu. Son chất đẹp mà xu ghê,2025-11-23 23:46,Chất lượng sản phẩm kém
1773397937-890,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Play Off-Đỏ cam,Sản phẩm không giống như màu mô tả,2025-11-23 11:59,Không giống mô tả / quảng cáo
1773397937-891,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Sepia-Đỏ táo trầm,Không biết hãng sản xuất ở đau thấy ở hàn quốc và china khó phân biệt thật giả,2025-11-22 23:26,Không giống mô tả / quảng cáo
1773397937-892,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Play Off-Đỏ cam,"Son dỡ tệ, màu son không giống quảng cáo,bôi lên môi không bám màu m",2025-11-22 12:06,Không giống mô tả / quảng cáo
1773397937-893,Son Sáp Màu Mịn Lì 3CE Sketch Stick,07-Burnt Orange,Hok giống màu đăng màu đỏ đô quá già,2025-11-21 22:10,Gây kích ứng da / breakout
1773397937-895,Son Sáp Màu Mịn Lì 3CE Sketch Stick,13-Silent Bloom,"Nay t mở son ra dùng thì nó như vậy nè🙂, mà chỉ là để trong túi từ sáng thoii chứ bthg t toàn để nó đứng trên bàn",2025-12-07 19:06,Khác / Không rõ
1773397937-896,Phấn Má Hồng Mịn Lì 3CE Face Blush,Mono Pink-Hồng khô,"Không biết hàng fake hay không, không có tem đen niêm phong. Lại còn make in china :))",2025-11-20 20:29,Không giống mô tả / quảng cáo
1773397937-897,Son Sáp Màu Mịn Lì 3CE Sketch Stick,13-Silent Bloom,Ý là nhãn hàng ơi????? ??????? Son này là son gì á?,2025-11-20 18:11,Khác / Không rõ
1773397937-898,(GWP) Túi Mini Đựng Son 3CE Lipstick Holder,,"Cân nhắc kĩ trước khi mua. Thân son nhỏ gọn nhưng vô cùng lỏng lẻo. Mặc dù đã xem và đọc rất nhiều bài review trước khi mua, nên khi mở son và test lên môi mình đã rất nhẹ nhàng vặn đủ vừa rồi. Vậy mà vẫn gãy 1 cách rất zô ziên, test 2 ống nhưng gãy ống màu Hồng. Nhắn tin cho 3ce thì đổi lỗi cho shopee vận chuyển, nhưng đây là chất lượng son chứ ko phải do vận chuyển. Lúc vận chuyển mở ra vẫn i nguyên. Xử lý sau bán rất là tệ.",2025-11-20 15:34,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-900,Son bóng dưỡng môi 3CE Glazy Lip Glow,#32 Peachy Filling,"Màu tạm ổn, mà quá ít dưỡng, mang tiếng son dưỡng mà càng bôi càng khô môi, thất vọng",2025-11-20 13:50,Chất lượng sản phẩm kém
1773397937-901,Chai Xịt Cố Định Lớp Trang Điểm 3CE 3CE Shimmer Makeup Fixer,,"Banner thì để quà tặng, mua về mở ra có cái gì đâu, xứng đáng 1 sao, mkt lừa đảo khách hàng vừa th!",2025-11-20 09:36,Không giống mô tả / quảng cáo
